signature,id,id_source,type,brand,category,subcategory,model,generation,version,name,years,photo_folder,quick_photo_1,quick_photo_2,photo_mode,photo_1,photo_2,article_file,article_exists
22ae22f3b7e9c965f62b921963be483cd0d7c27e,car-00019,excel,car,Alfa Romeo,,,146,Gen 1,1.8 TS,Alfa Romeo 146 1.8 TS,1996-2000–,assets/vehicles/alfa-romeo/car-00019/,assets/vehicles/_quick/car-00019-1.webp,assets/vehicles/_quick/car-00019-2.webp,,,,content/articles/alfa-romeo/car-00019.md,no
e4e99ceeeef5e1ee801f92cbe84e38f25a536ccb,car-00020,excel,car,Alfa Romeo,,,146,Gen 1,ti,Alfa Romeo 146 ti,1996–1998,assets/vehicles/alfa-romeo/car-00020/,assets/vehicles/_quick/car-00020-1.webp,assets/vehicles/_quick/car-00020-2.webp,,,,content/articles/alfa-romeo/car-00020.md,no
44be89c68b22acc9c25f50d80f650bf6107e7205,car-00021,excel,car,Alfa Romeo,,,147,Gen 1,1.6 TS,Alfa Romeo 147 1.6 TS,2001-2010–,assets/vehicles/alfa-romeo/car-00021/,assets/vehicles/_quick/car-00021-1.webp,assets/vehicles/_quick/car-00021-2.webp,,,,content/articles/alfa-romeo/car-00021.md,no
e98337d0581a51a32c7c7cfb5ae86d85c6f01a3b,car-00022,excel,car,Alfa Romeo,,,147,Gen 1,1.6 TS 16v,Alfa Romeo 147 1.6 TS 16v,2001-2010–,assets/vehicles/alfa-romeo/car-00022/,assets/vehicles/_quick/car-00022-1.webp,assets/vehicles/_quick/car-00022-2.webp,,,,content/articles/alfa-romeo/car-00022.md,no
55143ea0a0ba034fff3395045295a47c808ce705,car-00023,excel,car,Alfa Romeo,,,147,Gen 1,1.9 JTD,Alfa Romeo 147 1.9 JTD,2006-2010–,assets/vehicles/alfa-romeo/car-00023/,assets/vehicles/_quick/car-00023-1.webp,assets/vehicles/_quick/car-00023-2.webp,,,,content/articles/alfa-romeo/car-00023.md,no
582ac74b9a534cdfa93f0332bdca8463c3e12210,car-00024,excel,car,Alfa Romeo,,,147,Gen 1,1.9 JTD,Alfa Romeo 147 1.9 JTD,2001-2006–,assets/vehicles/alfa-romeo/car-00024/,assets/vehicles/_quick/car-00024-1.webp,assets/vehicles/_quick/car-00024-2.webp,,,,content/articles/alfa-romeo/car-00024.md,no
9eb46eceae872f7eea1335faf0fab49522b8f7ae,car-00025,excel,car,Alfa Romeo,,,147,Gen 1,1.9 JTD 16v,Alfa Romeo 147 1.9 JTD 16v,2004-2010–,assets/vehicles/alfa-romeo/car-00025/,assets/vehicles/_quick/car-00025-1.webp,assets/vehicles/_quick/car-00025-2.webp,,,,content/articles/alfa-romeo/car-00025.md,no
b0a669f50279df8474f98d750bee529362ea70b3,car-00026,excel,car,Alfa Romeo,,,147,Gen 1,1.9 JTD 16v,Alfa Romeo 147 1.9 JTD 16v,2002-2005–,assets/vehicles/alfa-romeo/car-00026/,assets/vehicles/_quick/car-00026-1.webp,assets/vehicles/_quick/car-00026-2.webp,,,,content/articles/alfa-romeo/car-00026.md,no
b22e9be006059f660a0b8c6a6acbe7ec1fc0509f,car-00027,excel,car,Alfa Romeo,,,147,Gen 1,1.9 JTD Q2,Alfa Romeo 147 1.9 JTD Q2,2006-2010–,assets/vehicles/alfa-romeo/car-00027/,assets/vehicles/_quick/car-00027-1.webp,assets/vehicles/_quick/car-00027-2.webp,,,,content/articles/alfa-romeo/car-00027.md,no
e14b780d59e8d7968b0554c3442692c5e44fa6b8,car-00028,excel,car,Alfa Romeo,,,147,Gen 1,2.0 TS,Alfa Romeo 147 2.0 TS,2001-2010–,assets/vehicles/alfa-romeo/car-00028/,assets/vehicles/_quick/car-00028-1.webp,assets/vehicles/_quick/car-00028-2.webp,,,,content/articles/alfa-romeo/car-00028.md,no
6593515a6ceda495945e6b4aee2be395aee44b8e,car-00029,excel,car,Alfa Romeo,,,147,Gen 1,2.0 TS Selespeed,Alfa Romeo 147 2.0 TS Selespeed,2001-2008–,assets/vehicles/alfa-romeo/car-00029/,assets/vehicles/_quick/car-00029-1.webp,assets/vehicles/_quick/car-00029-2.webp,,,,content/articles/alfa-romeo/car-00029.md,no
f1fd27b095e90c74ffbc05d93aa310772bcddd4a,car-00030,excel,car,Alfa Romeo,,,147,Gen 1,Ducatti Corse,Alfa Romeo 147 Ducatti Corse,2008,assets/vehicles/alfa-romeo/car-00030/,assets/vehicles/_quick/car-00030-1.webp,assets/vehicles/_quick/car-00030-2.webp,,,,content/articles/alfa-romeo/car-00030.md,no
f97e767730242bcd552a9dc8ab8933eae1308a4b,car-00031,excel,car,Alfa Romeo,,,147,Gen 1,GTA,Alfa Romeo 147 GTA,2003–2006,assets/vehicles/alfa-romeo/car-00031/,assets/vehicles/_quick/car-00031-1.webp,assets/vehicles/_quick/car-00031-2.webp,,,,content/articles/alfa-romeo/car-00031.md,no
532d5f3a4576c398752206c681fadb70f495057e,car-00032,excel,car,Alfa Romeo,,,155,Gen 1,1.6 TS,Alfa Romeo 155 1.6 TS,1996-1998–,assets/vehicles/alfa-romeo/car-00032/,assets/vehicles/_quick/car-00032-1.webp,assets/vehicles/_quick/car-00032-2.webp,,,,content/articles/alfa-romeo/car-00032.md,no
4f579ede161e6352bc414fb0ffd637c03272a94f,car-00033,excel,car,Alfa Romeo,,,155,Gen 1,1.7 TS,Alfa Romeo 155 1.7 TS,1993-1996–,assets/vehicles/alfa-romeo/car-00033/,assets/vehicles/_quick/car-00033-1.webp,assets/vehicles/_quick/car-00033-2.webp,,,,content/articles/alfa-romeo/car-00033.md,no
1f0bb173b3ad4efe07ea03f41cd11f619f994132,car-00034,excel,car,Alfa Romeo,,,155,Gen 1,1.8 TS,Alfa Romeo 155 1.8 TS,1995-1998–,assets/vehicles/alfa-romeo/car-00034/,assets/vehicles/_quick/car-00034-1.webp,assets/vehicles/_quick/car-00034-2.webp,,,,content/articles/alfa-romeo/car-00034.md,no
2366122c3f7dfea5c4df86f17372aa90054e17a0,car-00035,excel,car,Alfa Romeo,,,155,Gen 1,1.8 TS,Alfa Romeo 155 1.8 TS,1992-1995–,assets/vehicles/alfa-romeo/car-00035/,assets/vehicles/_quick/car-00035-1.webp,assets/vehicles/_quick/car-00035-2.webp,,,,content/articles/alfa-romeo/car-00035.md,no
75615d2a341bd3ebdda698f80fd894fd571b19ef,car-00036,excel,car,Alfa Romeo,,,155,Gen 1,2.0 TS,Alfa Romeo 155 2.0 TS,1992-1995–,assets/vehicles/alfa-romeo/car-00036/,assets/vehicles/_quick/car-00036-1.webp,assets/vehicles/_quick/car-00036-2.webp,,,,content/articles/alfa-romeo/car-00036.md,no
8b5ce44b8c523b531def2408c7d5fdf189601509,car-00037,excel,car,Alfa Romeo,,,155,Gen 1,2.0 TS,Alfa Romeo 155 2.0 TS,1995-1998–,assets/vehicles/alfa-romeo/car-00037/,assets/vehicles/_quick/car-00037-1.webp,assets/vehicles/_quick/car-00037-2.webp,,,,content/articles/alfa-romeo/car-00037.md,no
d7464ddfea7d1835ddbb3ce666e7572b1af0c30b,car-00038,excel,car,Alfa Romeo,,,155,Gen 1,2.5 TD,Alfa Romeo 155 2.5 TD,1993-1998–,assets/vehicles/alfa-romeo/car-00038/,assets/vehicles/_quick/car-00038-1.webp,assets/vehicles/_quick/car-00038-2.webp,,,,content/articles/alfa-romeo/car-00038.md,no
b8d35a410451d1735da6a2ec58f051a2bf13349e,car-00039,excel,car,Alfa Romeo,,,155,Gen 1,2.5 V6,Alfa Romeo 155 2.5 V6,1992-1998–,assets/vehicles/alfa-romeo/car-00039/,assets/vehicles/_quick/car-00039-1.webp,assets/vehicles/_quick/car-00039-2.webp,,,,content/articles/alfa-romeo/car-00039.md,no
f2ad6dcd962b6d3fdf31b6ba152ebc07dc7d1cb0,car-00040,excel,car,Alfa Romeo,,,155,Gen 1,Q4,Alfa Romeo 155 Q4,1992-1998–,assets/vehicles/alfa-romeo/car-00040/,assets/vehicles/_quick/car-00040-1.webp,assets/vehicles/_quick/car-00040-2.webp,,,,content/articles/alfa-romeo/car-00040.md,no
3227da51ed27cf8d583937bfc004f71b6c0e9139,car-00041,excel,car,Alfa Romeo,,,156,Gen 1,1.6 TS,Alfa Romeo 156 1.6 TS,1997-2005–,assets/vehicles/alfa-romeo/car-00041/,assets/vehicles/_quick/car-00041-1.webp,assets/vehicles/_quick/car-00041-2.webp,,,,content/articles/alfa-romeo/car-00041.md,no
eec3c4d00fc79cc6c022aae86d59c3feead45cca,car-00042,excel,car,Alfa Romeo,,,156,Gen 1,1.8 TS,Alfa Romeo 156 1.8 TS,1997-2005–,assets/vehicles/alfa-romeo/car-00042/,assets/vehicles/_quick/car-00042-1.webp,assets/vehicles/_quick/car-00042-2.webp,,,,content/articles/alfa-romeo/car-00042.md,no
bdb72853cc9e556a68dc97fcc4a5fce23594d98e,car-00043,excel,car,Alfa Romeo,,,156,Gen 1,1.9 JTD,Alfa Romeo 156 1.9 JTD,2001-2006–,assets/vehicles/alfa-romeo/car-00043/,assets/vehicles/_quick/car-00043-1.webp,assets/vehicles/_quick/car-00043-2.webp,,,,content/articles/alfa-romeo/car-00043.md,no
15d0a024406d3c250526d66d4d0abfdccf297d4f,car-00044,excel,car,Alfa Romeo,,,156,Gen 1,1.9 JTD,Alfa Romeo 156 1.9 JTD,1997-2000–,assets/vehicles/alfa-romeo/car-00044/,assets/vehicles/_quick/car-00044-1.webp,assets/vehicles/_quick/car-00044-2.webp,,,,content/articles/alfa-romeo/car-00044.md,no
5dbe1ec4d7b7892e58b4ff182be565649462d915,car-00045,excel,car,Alfa Romeo,,,156,Gen 1,1.9 JTD 16v,Alfa Romeo 156 1.9 JTD 16v,2002-2005–,assets/vehicles/alfa-romeo/car-00045/,assets/vehicles/_quick/car-00045-1.webp,assets/vehicles/_quick/car-00045-2.webp,,,,content/articles/alfa-romeo/car-00045.md,no
7b745eb2f718d4b115353d428203a5e4392a6488,car-00046,excel,car,Alfa Romeo,,,156,Gen 1,1.9 JTD SW,Alfa Romeo 156 1.9 JTD SW,2000-2000–,assets/vehicles/alfa-romeo/car-00046/,assets/vehicles/_quick/car-00046-1.webp,assets/vehicles/_quick/car-00046-2.webp,,,,content/articles/alfa-romeo/car-00046.md,no
1253a3032016cd3c537df9ddafafcfd571fcc12a,car-00047,excel,car,Alfa Romeo,,,156,Gen 1,2.0 JTS,Alfa Romeo 156 2.0 JTS,2002-2005–,assets/vehicles/alfa-romeo/car-00047/,assets/vehicles/_quick/car-00047-1.webp,assets/vehicles/_quick/car-00047-2.webp,,,,content/articles/alfa-romeo/car-00047.md,no
cc2fc8ffdb58a521f6db90f7ec669bad741efc3c,car-00048,excel,car,Alfa Romeo,,,156,Gen 1,2.0 TS,Alfa Romeo 156 2.0 TS,1997-2002–,assets/vehicles/alfa-romeo/car-00048/,assets/vehicles/_quick/car-00048-1.webp,assets/vehicles/_quick/car-00048-2.webp,,,,content/articles/alfa-romeo/car-00048.md,no
161a4b19ad878ab423caa9c889138ebc73cbf86d,car-00049,excel,car,Alfa Romeo,,,156,Gen 1,2.0 TS Selespeed,Alfa Romeo 156 2.0 TS Selespeed,1999-2002–,assets/vehicles/alfa-romeo/car-00049/,assets/vehicles/_quick/car-00049-1.webp,assets/vehicles/_quick/car-00049-2.webp,,,,content/articles/alfa-romeo/car-00049.md,no
935356dda2c92c6218c28a872c553977007423d8,car-00050,excel,car,Alfa Romeo,,,156,Gen 1,2.0 TS SW,Alfa Romeo 156 2.0 TS SW,2000-2002–,assets/vehicles/alfa-romeo/car-00050/,assets/vehicles/_quick/car-00050-1.webp,assets/vehicles/_quick/car-00050-2.webp,,,,content/articles/alfa-romeo/car-00050.md,no
4c7333f14b2df8f2a2dfbd1034a9145f1c036ac4,car-00051,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD,Alfa Romeo 156 2.4 JTD,2003-2005–,assets/vehicles/alfa-romeo/car-00051/,assets/vehicles/_quick/car-00051-1.webp,assets/vehicles/_quick/car-00051-2.webp,,,,content/articles/alfa-romeo/car-00051.md,no
636fd6b0d034298fe144567e431c2dd473164c72,car-00052,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD,Alfa Romeo 156 2.4 JTD,2002-2003–,assets/vehicles/alfa-romeo/car-00052/,assets/vehicles/_quick/car-00052-1.webp,assets/vehicles/_quick/car-00052-2.webp,,,,content/articles/alfa-romeo/car-00052.md,no
dc65fb7a2ed8027b6916d329780d67ba05681d06,car-00053,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD,Alfa Romeo 156 2.4 JTD,2000-2002–,assets/vehicles/alfa-romeo/car-00053/,assets/vehicles/_quick/car-00053-1.webp,assets/vehicles/_quick/car-00053-2.webp,,,,content/articles/alfa-romeo/car-00053.md,no
a221fe36504aa8fa27f382cf92106b503cf423d4,car-00054,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD,Alfa Romeo 156 2.4 JTD,1997-2001–,assets/vehicles/alfa-romeo/car-00054/,assets/vehicles/_quick/car-00054-1.webp,assets/vehicles/_quick/car-00054-2.webp,,,,content/articles/alfa-romeo/car-00054.md,no
f9d944f4f92ddc2b4292ec1b2dde6d8f8dbc46e5,car-00055,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD SW,Alfa Romeo 156 2.4 JTD SW,2003-2005–,assets/vehicles/alfa-romeo/car-00055/,assets/vehicles/_quick/car-00055-1.webp,assets/vehicles/_quick/car-00055-2.webp,,,,content/articles/alfa-romeo/car-00055.md,no
ee75905ad5e272db0d718fd22d030edf01656663,car-00056,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD SW,Alfa Romeo 156 2.4 JTD SW,2000-2002–,assets/vehicles/alfa-romeo/car-00056/,assets/vehicles/_quick/car-00056-1.webp,assets/vehicles/_quick/car-00056-2.webp,,,,content/articles/alfa-romeo/car-00056.md,no
747572360d026c34c29430e6940adae6bb82bfd4,car-00057,excel,car,Alfa Romeo,,,156,Gen 1,2.4 JTD SW,Alfa Romeo 156 2.4 JTD SW,2002-2003–,assets/vehicles/alfa-romeo/car-00057/,assets/vehicles/_quick/car-00057-1.webp,assets/vehicles/_quick/car-00057-2.webp,,,,content/articles/alfa-romeo/car-00057.md,no
edc016230ab69dcc38584cf3c3156c419804b4d1,car-00058,excel,car,Alfa Romeo,,,156,Gen 1,2.5 V6,Alfa Romeo 156 2.5 V6,1997-2005–,assets/vehicles/alfa-romeo/car-00058/,assets/vehicles/_quick/car-00058-1.webp,assets/vehicles/_quick/car-00058-2.webp,,,,content/articles/alfa-romeo/car-00058.md,no
a92a577c53ddc051477b647bbfc0aa1a64ea9f10,car-00059,excel,car,Alfa Romeo,,,156,Gen 1,2.5 V6 Q-System,Alfa Romeo 156 2.5 V6 Q-System,1998-2005–,assets/vehicles/alfa-romeo/car-00059/,assets/vehicles/_quick/car-00059-1.webp,assets/vehicles/_quick/car-00059-2.webp,,,,content/articles/alfa-romeo/car-00059.md,no
e7bd4bded2b8946dc60db4fe8cdd1652d66e5fbc,car-00060,excel,car,Alfa Romeo,,,156,Gen 1,2.5 V6 SW,Alfa Romeo 156 2.5 V6 SW,1997-2005–,assets/vehicles/alfa-romeo/car-00060/,assets/vehicles/_quick/car-00060-1.webp,assets/vehicles/_quick/car-00060-2.webp,,,,content/articles/alfa-romeo/car-00060.md,no
a8f6dd3ed70627a2cdaabc5a590b86faf33c7a21,car-00061,excel,car,Alfa Romeo,,,156,Gen 1,Crosswagon Q4,Alfa Romeo 156 Crosswagon Q4,2004-2007–,assets/vehicles/alfa-romeo/car-00061/,assets/vehicles/_quick/car-00061-1.webp,assets/vehicles/_quick/car-00061-2.webp,,,,content/articles/alfa-romeo/car-00061.md,no
63a043f2d74a8edd3c8a64af3241b1f5343f17ab,car-00062,excel,car,Alfa Romeo,,,156,Gen 1,GTA,Alfa Romeo 156 GTA,2002-2005–,assets/vehicles/alfa-romeo/car-00062/,assets/vehicles/_quick/car-00062-1.webp,assets/vehicles/_quick/car-00062-2.webp,,,,content/articles/alfa-romeo/car-00062.md,no
033b2f3de7f4a541246f2fb157cf5445b8c004aa,car-00063,excel,car,Alfa Romeo,,,156,Gen 1,GTA SW,Alfa Romeo 156 GTA SW,2002-2005–,assets/vehicles/alfa-romeo/car-00063/,assets/vehicles/_quick/car-00063-1.webp,assets/vehicles/_quick/car-00063-2.webp,,,,content/articles/alfa-romeo/car-00063.md,no
629220d79801790f3b6b526790ffb51a9602073c,car-00064,excel,car,Alfa Romeo,,,159,Gen 1,1.8 MPI,Alfa Romeo 159 1.8 MPI,2007-2010–,assets/vehicles/alfa-romeo/car-00064/,assets/vehicles/_quick/car-00064-1.webp,assets/vehicles/_quick/car-00064-2.webp,,,,content/articles/alfa-romeo/car-00064.md,no
09387f146ada9afd0e1b9fc59924dc804a0d2176,car-00065,excel,car,Alfa Romeo,,,159,Gen 1,1.9 JTDm,Alfa Romeo 159 1.9 JTDm,2005-2010–,assets/vehicles/alfa-romeo/car-00065/,assets/vehicles/_quick/car-00065-1.webp,assets/vehicles/_quick/car-00065-2.webp,,,,content/articles/alfa-romeo/car-00065.md,no
09387f146ada9afd0e1b9fc59924dc804a0d2176,car-00066,excel,car,Alfa Romeo,,,159,Gen 1,1.9 JTDm,Alfa Romeo 159 1.9 JTDm,2005-2010–,assets/vehicles/alfa-romeo/car-00066/,assets/vehicles/_quick/car-00066-1.webp,assets/vehicles/_quick/car-00066-2.webp,,,,content/articles/alfa-romeo/car-00066.md,no
eb7b6f924fceb43077afebd31cb80fea64df5b8d,car-00067,excel,car,Alfa Romeo,,,159,Gen 1,1.9 JTS,Alfa Romeo 159 1.9 JTS,2005-2009–,assets/vehicles/alfa-romeo/car-00067/,assets/vehicles/_quick/car-00067-1.webp,assets/vehicles/_quick/car-00067-2.webp,,,,content/articles/alfa-romeo/car-00067.md,no
608cca7f935d62998d88f74d5dbdbbf6d460c21d,car-00068,excel,car,Alfa Romeo,,,159,Gen 1,1750 TBI,Alfa Romeo 159 1750 TBI,2009-2011–,assets/vehicles/alfa-romeo/car-00068/,assets/vehicles/_quick/car-00068-1.webp,assets/vehicles/_quick/car-00068-2.webp,,,,content/articles/alfa-romeo/car-00068.md,no
332e28b4d11b25c3b32dfa5c1409dbc171617b19,car-00069,excel,car,Alfa Romeo,,,159,Gen 1,2.0 JTDm,Alfa Romeo 159 2.0 JTDm,2009-2011–,assets/vehicles/alfa-romeo/car-00069/,assets/vehicles/_quick/car-00069-1.webp,assets/vehicles/_quick/car-00069-2.webp,,,,content/articles/alfa-romeo/car-00069.md,no
9cc624d09d1412a3375530a90961ffa4aef2ad29,car-00070,excel,car,Alfa Romeo,,,159,Gen 1,2.0 JTDm SW,Alfa Romeo 159 2.0 JTDm SW,2009-2011–,assets/vehicles/alfa-romeo/car-00070/,assets/vehicles/_quick/car-00070-1.webp,assets/vehicles/_quick/car-00070-2.webp,,,,content/articles/alfa-romeo/car-00070.md,no
5894861ee06a2341d4a64ee78ad110386d5cf8dd,car-00071,excel,car,Alfa Romeo,,,159,Gen 1,2.2 JTS,Alfa Romeo 159 2.2 JTS,2005-2009–,assets/vehicles/alfa-romeo/car-00071/,assets/vehicles/_quick/car-00071-1.webp,assets/vehicles/_quick/car-00071-2.webp,,,,content/articles/alfa-romeo/car-00071.md,no
56e6fb952765fb7fa78d923d3bc76d0618e0cec8,car-00072,excel,car,Alfa Romeo,,,159,Gen 1,2.4 JTDm,Alfa Romeo 159 2.4 JTDm,2005-2010–,assets/vehicles/alfa-romeo/car-00072/,assets/vehicles/_quick/car-00072-1.webp,assets/vehicles/_quick/car-00072-2.webp,,,,content/articles/alfa-romeo/car-00072.md,no
d43d13f5629f54afd7111e4dcc9d7cf6b92d6cf5,car-00073,excel,car,Alfa Romeo,,,159,Gen 1,2.4 JTDm Q4,Alfa Romeo 159 2.4 JTDm Q4,2007-2010–,assets/vehicles/alfa-romeo/car-00073/,assets/vehicles/_quick/car-00073-1.webp,assets/vehicles/_quick/car-00073-2.webp,,,,content/articles/alfa-romeo/car-00073.md,no
d234f598b337c1df9d18eb770937abc1b1c86d92,car-00074,excel,car,Alfa Romeo,,,159,Gen 1,2.4 JTDm SW Q4,Alfa Romeo 159 2.4 JTDm SW Q4,2007-2010–,assets/vehicles/alfa-romeo/car-00074/,assets/vehicles/_quick/car-00074-1.webp,assets/vehicles/_quick/car-00074-2.webp,,,,content/articles/alfa-romeo/car-00074.md,no
664745d7403599a747033e9b8cb3b908ec448828,car-00075,excel,car,Alfa Romeo,,,159,Gen 1,3.2 V6 Q4,Alfa Romeo 159 3.2 V6 Q4,2005-2010–,assets/vehicles/alfa-romeo/car-00075/,assets/vehicles/_quick/car-00075-1.webp,assets/vehicles/_quick/car-00075-2.webp,,,,content/articles/alfa-romeo/car-00075.md,no
4e24e3001a0911a427a43cdf86ae9574b9b7d008,car-00076,excel,car,Alfa Romeo,,,159,Gen 1,3.2 V6 Q4 SW,Alfa Romeo 159 3.2 V6 Q4 SW,2006-2010–,assets/vehicles/alfa-romeo/car-00076/,assets/vehicles/_quick/car-00076-1.webp,assets/vehicles/_quick/car-00076-2.webp,,,,content/articles/alfa-romeo/car-00076.md,no
8128ea884f10054b9811cb6363d6bcf2e0f306f4,car-00077,excel,car,Alfa Romeo,,,1600,Gen 1,TZ,Alfa Romeo 1600 TZ,1963–1964,assets/vehicles/alfa-romeo/car-00077/,assets/vehicles/_quick/car-00077-1.webp,assets/vehicles/_quick/car-00077-2.webp,,,,content/articles/alfa-romeo/car-00077.md,no
